dis sub
27 Clade-C
3 Clade-A
1 Clade-A
1 Clade-A
0 Clade-A
0 Clade-A
1 Clade-A
2 Clade-A
9 Clade-B
4 Clade-C
1 Clade-A
32 Clade-B
0 Clade-B
1 Clade-A
0 Clade-A
1 Clade-A
1 Clade-A
2 Clade-A
3 Clade-B
4 Clade-A
3 Clade-A
1 Clade-A
0 Clade-A
12 Clade-B
0 Clade-A
1 Clade-A
10 Clade-B
0 Clade-A
26 Clade-B
0 Clade-A
1 Clade-A
1 Clade-B
0 Clade-B
4 Clade-A
5 Clade-A
0 Clade-A
5 Clade-C
0 Clade-A
0 Clade-A
0 Clade-C
2 Clade-A
37 Clade-B
0 Clade-A
0 Clade-A
14 Clade-B
1 Clade-A
5 Clade-B
3 Clade-A
14 Clade-B
8 Clade-A
7 Clade-B
14 Clade-B
2 Clade-A
0 Clade-A
1 Clade-A
1 Clade-A
1 Clade-A
1 Clade-A
0 Clade-A
10 Clade-B
2 Clade-A
15 Clade-B
15 Clade-A
18 Clade-C
3 Clade-A
37 Clade-B
0 Clade-B
0 Clade-A
1 Clade-A
2 Clade-A
1 Clade-A
3 Clade-A
0 Clade-B
8 Clade-B
0 Clade-B
11 Clade-B
36 Clade-B
0 Clade-A
11 Clade-B
1 Clade-A
1 Clade-A
2 Clade-A
0 Clade-A
0 Clade-A
58 Clade-B
2 Clade-A
0 Clade-A
3 Clade-A
1 Clade-B
31 Clade-B
1 Clade-A
7 Clade-A
0 Clade-A
1 Clade-A
5 Clade-A
2 Clade-A
12 Clade-B
1 Clade-A
1 Clade-A
16 Clade-C
2 Clade-A
2 Clade-A
1 Clade-A
7 Clade-B
2 Clade-A
0 Clade-A
1 Clade-A
0 Clade-A
0 Clade-A
0 Clade-A
12 Clade-A
12 Clade-A
0 Clade-A
8 Clade-A
5 Clade-B
1 Clade-A
2 Clade-A
3 Clade-A
3 Clade-A
1 Clade-A
6 Clade-B
1 Clade-A
0 Clade-A
19 Clade-C
1 Clade-A
8 Clade-B
0 Clade-A
0 Clade-A
0 Clade-A
0 Clade-B
0 Clade-A
2 Clade-A
1 Clade-A
19 Clade-C
1 Clade-A
0 Clade-A
0 Clade-A
10 Clade-A
0 Clade-A
33 Clade-B
0 Clade-A
4 Clade-A
4 Clade-A
6 Clade-B
4 Clade-A
0 Clade-A
18 Clade-C
41 Clade-C
1 Clade-C
0 Clade-A
0 Clade-A
0 Clade-A
4 Clade-A
0 Clade-A
0 Clade-A
1 Clade-B
2 Clade-A
0 Clade-A
3 Clade-A
2 Clade-A
37 Clade-C
16 Clade-C
1 Clade-A
0 Clade-A
30 Clade-C
0 Clade-B
1 Clade-A
0 Clade-A
0 Clade-A
2 Clade-C
0 Clade-A
0 Clade-A
0 Clade-A
3 Clade-A
0 Clade-A
26 Clade-A
0 Clade-A
8 Clade-B
1 Clade-A
4 Clade-A
3 Clade-A
1 Clade-A
4 Clade-A
7 Clade-A
2 Clade-A
0 Clade-A
1 Clade-A
3 Clade-A
5 Clade-B
4 Clade-A
7 Clade-B
3 Clade-A
5 Clade-B
19 Clade-A
4 Clade-A
2 Clade-A
1 Clade-A
0 Clade-A
9 Clade-B
3 Clade-A
3 Clade-B
0 Clade-A
0 Clade-A
11 Clade-B
13 Clade-A
0 Clade-B
32 Clade-C
1 Clade-A
0 Clade-A
0 Clade-C
1 Clade-A
0 Clade-A
4 Clade-A
