RNAseq_dataset Gene coloc_posterior
Alasoo_2018_macrophage_naive HLA-A 0.00880183524584828
Alasoo_2018_macrophage_naive ZNRD1 0.0330961632688501
Alasoo_2018_macrophage_naive PPP1R11 0.00870731429825797
Alasoo_2018_macrophage_naive RNF39 NA
Alasoo_2018_macrophage_naive TRIM31 NA
Alasoo_2018_macrophage_naive TRIM40 NA
Alasoo_2018_macrophage_naive TRIM10 NA
Alasoo_2018_macrophage_naive TRIM15 NA
Alasoo_2018_macrophage_naive TRIM26 0.0194179662356821
Alasoo_2018_macrophage_naive TRIM39 0.100640959398716
Alasoo_2018_macrophage_naive TRIM39-RPP21 NA
Alasoo_2018_macrophage_naive RPP21 0.00943106461608221
Alasoo_2018_macrophage_naive HLA-E 0.0188046028134206
Alasoo_2018_macrophage_naive GNL1 0.00730770737303072
Alasoo_2018_macrophage_naive PRR3 0.00766452629580051
Alasoo_2018_macrophage_naive ABCF1 0.00647286792930951
Alasoo_2018_macrophage_naive PPP1R10 0.0164173229334668
Alasoo_2018_macrophage_naive MRPS18B 0.00827626812426993
Alasoo_2018_macrophage_naive ATAT1 0.00721211224006253
Alasoo_2018_macrophage_naive C6orf136 0.0831379684545434
Alasoo_2018_macrophage_naive DHX16 0.0124809502482575
Alasoo_2018_macrophage_naive PPP1R18 0.143158635135675
Alasoo_2018_macrophage_naive NRM 0.0117772583395151
Alasoo_2018_macrophage_naive MDC1 0.00800102915837813
Alasoo_2018_macrophage_naive TUBB 0.00852262096294391
Alasoo_2018_macrophage_naive FLOT1 0.000682835806215821
Alasoo_2018_macrophage_naive IER3 0.00451010831185652
Alasoo_2018_macrophage_naive DDR1 0.0112614164259382
Alasoo_2018_macrophage_naive GTF2H4 0.00790092547731631
Alasoo_2018_macrophage_naive VARS2 0.000335572158630604
Alasoo_2018_macrophage_naive SFTA2 NA
Alasoo_2018_macrophage_naive DPCR1 NA
Alasoo_2018_macrophage_naive MUC21 NA
Alasoo_2018_macrophage_naive MUC22 NA
Alasoo_2018_macrophage_naive C6orf15 NA
Alasoo_2018_macrophage_naive PSORS1C1 NA
Alasoo_2018_macrophage_naive CDSN NA
Alasoo_2018_macrophage_naive PSORS1C2 NA
Alasoo_2018_macrophage_naive CCHCR1 0.00112998184553625
