collection_year lineage n perc pos
2011 g2g-L2 52 0.0539979231568017 937
2011 lineage2.2 52 0.0539979231568017 911
2011 lineage4.1 416 0.431983385254413 703
2011 lineage4.3 322 0.334371754932503 542
2011 lineage4.4 17 0.0176531671858775 533.5
2011 lineage4.5 1 0.00103842159916926 533
2011 lineage4.7 12 0.0124610591900312 527
2011 lineage4.8 43 0.0446521287642783 505.5
2011 lineage4.9 1 0.00103842159916926 505
2011 lineage4.x 47 0.0488058151609553 481.5
2012 g2g-L2 51 0.0888501742160279 548.5
2012 lineage1 1 0.00174216027874564 548
2012 lineage2.2 20 0.0348432055749129 538
2012 lineage4.1 233 0.405923344947735 421.5
2012 lineage4.3 187 0.325783972125436 328
2012 lineage4.4 16 0.0278745644599303 320
2012 lineage4.5 2 0.00348432055749129 319
2012 lineage4.7 5 0.00871080139372822 316.5
2012 lineage4.8 35 0.0609756097560976 299
2012 lineage4.9 1 0.00174216027874564 298.5
2012 lineage4.x 23 0.0400696864111498 287
2013-2014 g2g-L2 1 0.0526315789473684 18.5
2013-2014 lineage2.2 2 0.105263157894737 17.5
2013-2014 lineage4.1 7 0.368421052631579 14
2013-2014 lineage4.3 7 0.368421052631579 10.5
2013-2014 lineage4.8 2 0.105263157894737 9.5
