sampleID POP K1 K2 K3 K4 K5
HG00096 EUR 1e-05 0.000287 1e-05 0.999683 1e-05
HG00097 EUR 1e-05 0.011533 1e-05 0.988437 1e-05
HG00099 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00100 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00101 EUR 1e-05 0.010883 1e-05 0.989087 1e-05
HG00102 EUR 1e-05 0.011577 1e-05 0.988393 1e-05
HG00103 EUR 1e-05 1.2e-05 1e-05 0.999958 1e-05
HG00105 EUR 1.2e-05 0.007876 1e-05 0.992092 1e-05
HG00106 EUR 1e-05 0.023303 1e-05 0.976667 1e-05
HG00107 EUR 1e-05 0.001097 1e-05 0.998873 1e-05
HG00108 EUR 1e-05 0.010622 1.8e-05 0.989339 1e-05
HG00109 EUR 1e-05 0.003952 1e-05 0.996018 1e-05
HG00110 EUR 1e-05 0.011866 1e-05 0.988104 1e-05
HG00111 EUR 1e-05 0.013996 1e-05 0.985974 1e-05
HG00112 EUR 1e-05 0.007705 1e-05 0.992265 1e-05
HG00113 EUR 1e-05 0.011297 1e-05 0.988673 1e-05
HG00114 EUR 1e-05 0.012347 1e-05 0.987623 1e-05
HG00115 EUR 1e-05 0.026344 1e-05 0.973626 1e-05
HG00116 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00117 EUR 1e-05 0.002868 1e-05 0.997102 1e-05
HG00118 EUR 1e-05 0.001811 1e-05 0.998159 1e-05
HG00119 EUR 1e-05 0.004601 1e-05 0.995369 1e-05
HG00120 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00121 EUR 1e-05 0.008819 1e-05 0.991151 1e-05
HG00122 EUR 1e-05 0.012093 1e-05 0.987877 1e-05
HG00123 EUR 1e-05 0.000705 1e-05 0.999265 1e-05
HG00125 EUR 1e-05 0.004735 1e-05 0.995235 1e-05
HG00126 EUR 1e-05 0.010528 1e-05 0.989442 1e-05
HG00127 EUR 1e-05 0.009744 1e-05 0.990226 1e-05
HG00128 EUR 1e-05 0.006028 1e-05 0.993942 1e-05
HG00129 EUR 1e-05 0.003498 1e-05 0.996472 1e-05
HG00130 EUR 1e-05 0.012069 1e-05 0.987901 1e-05
HG00131 EUR 1e-05 0.019272 1e-05 0.980698 1e-05
HG00132 EUR 1e-05 0.016021 1e-05 0.983948 1e-05
HG00133 EUR 1e-05 0.020671 1e-05 0.979299 1e-05
HG00136 EUR 1e-05 0.012517 1e-05 0.987453 1e-05
HG00137 EUR 1e-05 0.012162 1e-05 0.987808 1e-05
HG00138 EUR 1e-05 0.00626 1e-05 0.99371 1e-05
HG00139 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00140 EUR 1e-05 0.010677 1e-05 0.989293 1e-05
HG00141 EUR 1e-05 0.003211 1e-05 0.996759 1e-05
HG00142 EUR 1.4e-05 0.023925 1e-05 0.976041 1e-05
HG00143 EUR 1.5e-05 0.008484 1e-05 0.99148 1e-05
HG00145 EUR 1e-05 0.019301 1e-05 0.980669 1e-05
HG00146 EUR 1e-05 1.3e-05 1e-05 0.999957 1e-05
HG00148 EUR 1e-05 0.009477 1.2e-05 0.990492 1e-05
HG00149 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00150 EUR 1e-05 0.021391 1e-05 0.978579 1e-05
HG00151 EUR 1e-05 0.018666 1e-05 0.981304 1e-05
HG00154 EUR 1e-05 1.1e-05 1e-05 0.999959 1e-05
HG00155 EUR 1.8e-05 0.014473 1e-05 0.985489 1e-05
HG00157 EUR 1e-05 1e-05 1e-05 0.99996 1e-05
HG00158 EUR 1e-05 0.004973 1e-05 0.994997 1e-05
HG00159 EUR 1e-05 0.00292 1e-05 0.99705 1e-05
