V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 POP REGION
-0.0084979 0.00541159 -0.00288274 -0.000587383 -0.00158469 0.00371087 -0.00016881 0.00130403 -0.00176818 -0.00309537 0.000984921 0.00604289 0.00544248 -0.00396474 0.00545262 -0.00431658 -0.00675941 0.0114275 -0.0016373 0.00123686 LIMAA LIMAA
-0.0041708 -0.00339978 -0.00679203 0.00491568 0.0104535 0.0111558 -0.00554766 -0.00255322 0.000865846 -0.00605897 -0.00446642 0.014698 0.00339628 0.0004825 0.0054754 -0.000674251 -0.00127902 0.0152431 -0.00419693 -0.00446291 LIMAA LIMAA
-0.00212658 0.00271508 -0.00344824 0.00250645 -0.00504862 0.0132399 0.000312752 -0.00631233 0.000240238 -0.00723027 0.00218946 0.00115175 0.00027653 0.000829612 0.00539508 -0.0119683 -0.00515921 0.00647233 -0.0024295 -0.00265848 LIMAA LIMAA
-0.0102359 0.00742647 -0.000866407 -0.00243259 -0.0172261 -0.0120185 -0.000364813 0.00645025 0.00115788 0.011788 0.00164992 0.000230802 0.00240275 0.00204932 0.0025742 -0.00227309 -0.00183388 0.0044638 0.0044405 -0.000215221 LIMAA LIMAA
-0.00730381 0.00297609 -0.00364525 0.000271938 -0.0134202 -0.00801821 -0.00599778 -0.0041034 0.00245838 -0.00686272 0.00239516 0.000142332 0.00998273 0.00321619 -0.00150807 -0.000175841 -0.00020705 -0.0128443 -0.00556387 0.00122927 LIMAA LIMAA
-0.0102191 0.00740256 -0.00125571 -0.00175269 -0.00663676 0.00255562 0.000141995 -0.00448364 0.00149351 -0.0172056 -0.000101838 0.0060037 0.00350273 -0.00196164 0.00188982 0.0102165 -0.00143667 -0.000474634 0.00105731 0.00190833 LIMAA LIMAA
-0.0100203 0.00646379 -0.00150298 -0.00176621 -0.00862197 0.00136325 0.00163053 -0.00701135 0.000449043 -0.0141446 0.00146461 -0.00169937 0.0130216 0.00194347 0.00672213 -0.000648761 -0.00370646 0.00095808 0.00442704 -0.00164977 LIMAA LIMAA
-0.00024597 -0.00822443 -0.00904344 0.00557733 0.0180258 0.00341005 -0.00758404 0.00183655 0.000433574 -0.00521634 -0.0047002 0.0177649 0.00944025 0.000781288 0.00865799 -0.0149684 -0.002212 -0.00133143 0.00231753 -0.00907256 LIMAA LIMAA
-0.0100701 0.00712471 -0.00213074 -0.00153775 0.00770329 -0.000468649 0.00193901 0.00157523 0.00181226 0.00648043 0.00112352 0.00735308 0.00907431 -0.00280643 0.00689224 -0.00155349 0.00112923 0.0170186 -0.00309663 -0.00461844 LIMAA LIMAA
-0.00402414 0.000664447 -0.00525378 0.00279575 0.00259696 0.014232 -0.000678201 -0.00313474 0.000849851 -0.00455353 -0.000809755 -0.00839727 -0.00627609 0.00708104 -0.0183564 -0.00554242 0.00605636 0.00679539 0.00390222 0.00119353 LIMAA LIMAA
-0.00840869 0.00471502 -0.00281515 -0.000571413 0.000180648 -0.0122359 -0.00218756 0.0149976 0.00115727 0.0327548 0.000709657 0.0119866 -6.40507e-05 -0.00736901 0.000574516 -0.0118288 0.00596571 0.0222132 -0.0104599 -0.00643401 LIMAA LIMAA
-0.00703611 0.00374486 -0.00311164 0.000571729 -0.00529728 -0.00651187 -0.000612468 0.00592273 0.00143464 0.00968285 0.000961091 -0.000395244 0.00412813 -0.00112526 0.00368811 -0.00584671 0.00260415 0.0185777 0.000242698 0.000443725 LIMAA LIMAA
-0.00995891 0.00504296 -0.00221491 -0.000296208 0.0208595 0.0284098 0.0107549 -0.00050097 0.00084291 0.00775993 0.00018684 0.00574526 0.00821594 -0.000520728 0.0108635 0.000492186 -0.00706052 0.0118485 -0.00717425 -0.00784451 LIMAA LIMAA
-0.00919785 0.00597425 -0.00308926 -0.000275336 0.0130228 0.0110449 0.00376681 -0.00311975 -0.00236829 -0.0104515 0.00205245 -0.0132188 -0.0122804 0.00744181 -0.013528 -0.00625468 0.00662798 -0.00470077 -0.00718409 -0.0054896 LIMAA LIMAA
-0.00782021 0.00309043 -0.00359329 -0.000127915 0.00258647 0.0138636 -0.00111849 0.000530421 0.000526485 -0.0130778 -0.0023179 0.00843114 0.00741881 -0.00640279 -0.00351536 0.00509043 -0.0038145 0.00914142 -0.00368261 -0.00513415 LIMAA LIMAA
-0.0108367 0.00807956 -0.00116992 -0.00226384 -0.00776359 -0.0115729 0.000416902 0.00281149 -0.000684072 0.00137674 -0.00133092 0.00189096 0.00594136 -0.00211154 0.00591716 0.00608511 -0.00703523 -0.0065662 0.00532026 0.00280102 LIMAA LIMAA
-0.00588851 -0.000166775 -0.00482967 0.00198715 -0.00305555 0.0029712 -0.00392906 -0.000461324 -1.70305e-05 -0.000876975 -0.000116902 -0.0135139 -0.00847593 0.00665079 -0.00915504 -0.00800644 0.0123273 -0.0013488 0.00121019 -0.000435925 LIMAA LIMAA
-0.000478201 0.00338727 -0.00444472 0.00149287 0.015944 0.0102712 7.77559e-05 -0.00151623 -0.00313053 -0.00503435 0.00202854 -0.00800266 -0.0271279 0.00856418 -0.0221879 -0.0133702 0.00277814 -0.00743069 -0.00178449 -0.00470044 LIMAA LIMAA
-0.0118313 0.00919684 0.00122698 -0.00194735 -0.0028026 0.0400151 0.0142144 0.00658481 0.00327846 0.033007 -0.00153099 0.00845042 0.00340434 -0.00329961 0.00933913 0.0101683 -0.00554527 -0.0150243 0.00173943 0.012311 LIMAA LIMAA
-0.0111435 0.00812136 -7.47773e-05 -0.00219347 -0.00988525 0.0329613 0.00999867 -0.00780218 -1.75695e-05 -0.00283149 -0.000813089 0.000202482 0.00134945 -0.000475965 0.00385079 -0.00383 0.00270838 0.0159477 -0.00867577 -0.00521591 LIMAA LIMAA
-0.0108397 0.00827381 -0.000959843 -0.00199266 -0.00814652 -0.01103 -0.000363885 0.00195703 -0.000255269 -0.00262536 -0.00217548 0.00359071 0.00780161 -0.00231119 0.00668318 0.00903998 -0.00807445 -0.00426149 0.00415971 -0.00170608 LIMAA LIMAA
