genotype	MEAN_CFP_mean	Mtb.strain
g2g-L2	280.741027133806	2
other L2	180.28396982674	3
other L2	208.947221383725	5
g2g-L2	308.087747538788	6
g2g-L2	282.810217076143	7
g2g-L2	210.693773889539	8
other L2	214.116479442533	9
other L2	258.212165375656	10
g2g-L2	305.447145657953	11
g2g-L2	317.977626500463	12
g2g-L2	340.218253835342	13
g2g-L2	305.405527649397	14
g2g-L2	293.777424668324	15
g2g-L2	219.644812650364	20
g2g-L2	384.325226231957	5209
g2g-L2	332.174906478182	5210
other L2	276.661730063479	6283
g2g-L2	307.331338128213	6374
g2g-L2	293.021105248895	6528
g2g-L2	329.121995879492	6543
other L2	148.263181550176	7037
other L2	206.473902380236	7063
other L2	229.888327448436	7107
other L2	192.993015520783	7117
g2g-L2	244.7625953678	7171
g2g-L2	339.805738506045	7651
g2g-L2	297.568861464586	7678
other L2	246.387022287865	7739
other L2	146.047916049035	7822
other L2	139.789592803939	7826
other L2	294.334263164761	7877
other L2	285.726456176732	7895
g2g-L2	300.380772848766	7929
g2g-L2	272.277113062917	7934
other L2	180.211820950292	7944
other L2	205.967500713084	7984
g2g-L2	301.315630922772	8066
g2g-L2	193.293372395409	8084
g2g-L2	284.036325933594	8146
g2g-L2	333.743110619489	8152
g2g-L2	364.72864106896	8165
